Record Time,1st trip from,1st trip to,1st trip cost,2nd trip from,2nd trip to,2nd trip cost,total cost
2022-05-28 16:55:13.792887,GRU,DTW,none,AMA,SBD,none,flights/airport not found
2022-05-28 16:57:07.050442,GRU,DTW,none,AMA,SBD,none,flights/airport not found
2022-05-28 16:57:54.327814,GRU,DTW,1486.0,AMA,SBP,1486.0,"$1,485.19"
2022-05-28 16:58:01.447110,GRU,DTW,none,AMA,SBY,none,flights/airport not found
2022-05-28 16:58:04.750169,GRU,DTW,none,AMA,SCH,none,flights/airport not found
2022-05-28 16:58:07.971534,GRU,DTW,none,AMA,SCK,none,flights/airport not found
2022-05-28 16:58:10.799312,GRU,DTW,none,AMA,SDM,none,flights/airport not found
2022-05-28 16:58:55.649873,GRU,DTW,3171.0,AMA,SDY,3171.0,"$3,170.90"
2022-05-28 16:58:58.420421,GRU,DTW,none,AMA,SFF,none,flights/airport not found
2022-05-28 16:59:00.978038,GRU,DTW,none,AMA,SGH,none,flights/airport not found
2022-05-28 16:59:03.440209,GRU,DTW,none,AMA,SGJ,none,flights/airport not found
2022-05-28 16:59:05.830014,GRU,DTW,none,AMA,SGR,none,flights/airport not found
2022-05-28 16:59:44.563558,GRU,DTW,1894.0,AMA,SGU,1894.0,"$1,893.28"
2022-05-28 17:00:23.427037,GRU,DTW,1427.0,AMA,SHR,1427.0,"$1,426.48"
2022-05-28 17:01:04.773783,GRU,DTW,1333.0,AMA,SHV,1333.0,"$1,332.64"
2022-05-28 17:01:11.437949,GRU,DTW,none,AMA,SJT,none,flights/airport not found
2022-05-28 17:01:15.079151,GRU,DTW,none,AMA,SKF,none,flights/airport not found
2022-05-28 17:01:18.715743,GRU,DTW,none,AMA,SLE,none,flights/airport not found
2022-05-28 17:01:21.384466,GRU,DTW,none,AMA,SLI,none,flights/airport not found
2022-05-28 17:02:01.049271,GRU,DTW,3473.0,AMA,SLK,3473.0,"$3,472.96"
2022-05-28 17:02:08.099367,GRU,DTW,none,AMA,SLN,none,flights/airport not found
2022-05-28 17:02:11.537254,GRU,DTW,none,AMA,SME,none,flights/airport not found
2022-05-28 17:02:14.843624,GRU,DTW,none,AMA,SMN,none,flights/airport not found
2022-05-28 17:02:21.436728,GRU,DTW,none,AMA,SMX,none,flights/airport not found
2022-05-28 17:02:23.895347,GRU,DTW,none,AMA,SNS,none,flights/airport not found
2022-05-28 17:02:26.875820,GRU,DTW,none,AMA,SNY,none,flights/airport not found
2022-05-28 17:02:29.604125,GRU,DTW,none,AMA,SOA,none,flights/airport not found
2022-05-28 17:02:32.254789,GRU,DTW,none,AMA,SRR,none,flights/airport not found
2022-05-28 17:02:35.373392,GRU,DTW,none,AMA,SSF,none,flights/airport not found
2022-05-28 17:02:38.230827,GRU,DTW,none,AMA,SSI,none,flights/airport not found
2022-05-28 17:02:40.949202,GRU,DTW,none,AMA,STC,none,flights/airport not found
2022-05-28 17:02:43.730877,GRU,DTW,none,AMA,STJ,none,flights/airport not found
2022-05-28 17:02:46.794637,GRU,DTW,none,AMA,STP,none,flights/airport not found
2022-05-28 17:03:43.162925,GRU,DTW,3168.0,AMA,STS,3168.0,"$3,167.74"
2022-05-28 17:04:23.888165,GRU,DTW,1460.0,AMA,SUN,1460.0,"$1,459.49"
2022-05-28 17:04:26.717731,GRU,DTW,none,AMA,SUZ,none,flights/airport not found
2022-05-28 17:04:29.195129,GRU,DTW,none,AMA,SVN,none,flights/airport not found
2022-05-28 17:04:31.975254,GRU,DTW,none,AMA,SWF,none,flights/airport not found
2022-05-28 17:04:34.893392,GRU,DTW,none,AMA,SWO,none,flights/airport not found
